title,price,rating,rating_distribution,link
Procesor AMD Ryzen 7 3700X 3.6GHz box,"714,99 RON",4.86,"{5: 47, 4: 2, 3: 1, 2: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-7-3700x-36ghz-box/
"Procesor Intel Raptor Lake, Core i3 13100 3.4GHz box","779,99 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i3-13100-34ghz-box/
"Procesor Intel Raptor Lake, Core i5 13600K 3.5GHz box","1.435,89 RON",5,{5: 6},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i5-13600k-35ghz-box/
Procesor AMD Ryzen 9 5950X 3.4GHz box,"1.999,99 RON",4.88,"{5: 15, 3: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-9-5950x-34ghz-box/
"Procesor Intel Raptor Lake, Core i7 13700 2.1GHz box","2.197,00 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i7-13700-21ghz-box/
Procesor AMD Ryzen 3 3100 3.6GHz box,"279,99 RON",4.92,"{5: 24, 4: 2}",https://www.pcgarage.ro/procesoare/amd/ryzen-3-3100-36ghz-box/
Procesor AMD Ryzen 3 4100 3.8GHz box,"359,99 RON",4.67,"{5: 2, 4: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-3-4100-38ghz-box/
Procesor AMD Ryzen 5 3500X 3.6GHz box,"379,99 RON",4.84,"{5: 22, 4: 2, 3: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-5-3500x-36ghz-box/
Procesor AMD Ryzen 5 8600G 4.3GHz box,"1.049,74 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-8600g-43ghz-box/
"Procesor Intel Rocket Lake, Core i7 11700F 2.5GHz box","1.324,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i7-11700f-25ghz-box/
Procesor AMD Ryzen 5 5600GT 3.6GHz box,"694,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-5600gt-36ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i9 14900 2.0GHz box","3.031,24 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i9-14900-20ghz-box/
